"Region","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Central and Southern Asia","Afghanistan","3.48","3.46","2.60","3.45","3.70","3.26","4.54","4.34","","","","","",""
"SDG: Central and Southern Asia","Bangladesh","","2.13","2.05","1.97","2.10","1.87","2.22","1.85","1.66","1.68","1.76","1.83","1.97","2.05"
"SDG: Central and Southern Asia","Bhutan","4.12","4.77","","5.72","6.04","6.24","6.34","6.70","6.07","4.76","5.98","6.97","8.14",""
"SDG: Central and Southern Asia","India","3.38","3.80","4.08","3.84","3.90","4.12","4.26","4.31","4.38","3.90","4.29","4.63","",""
"SDG: Central and Southern Asia","Iran (Islamic Republic of)","3.71","3.48","2.94","2.85","2.62","2.63","3.17","3.46","3.62","3.26","3.20","","2.67",""
"SDG: Central and Southern Asia","Kazakhstan","3.46","3.49","3.90","3.44","3.42","2.79","2.98","2.75","2.62","2.86","4.45","4.39","4.21",""
"SDG: Central and Southern Asia","Kyrgyzstan","5.82","6.79","7.38","6.78","5.53","5.99","6.59","6.03","5.55","5.37","6.09","6.53","7.96",""
"SDG: Central and Southern Asia","Maldives","3.63","3.08","4.97","3.96","3.89","4.64","4.47","3.87","3.93","4.21","5.79","4.49","4.58",""
"SDG: Central and Southern Asia","Nepal","3.63","3.84","3.53","3.20","3.49","3.29","3.48","3.53","3.66","3.49","4.21","3.96","3.65",""
"SDG: Central and Southern Asia","Pakistan","2.29","2.22","2.14","2.49","2.47","2.65","2.42","2.14","2.33","2.21","2.06","1.69","",""
"SDG: Central and Southern Asia","Sri Lanka","1.66","1.74","1.45","1.56","1.86","2.11","3.23","2.59","1.99","","1.55","1.51","1.20",""
"SDG: Central and Southern Asia","Tajikistan","4.01","3.94","4.02","","","4.97","5.73","5.54","5.38","5.57","5.96","6.15","5.45",""
"SDG: Central and Southern Asia","Turkmenistan","","","3.05","","","","","","","3.19","3.78","","",""
"SDG: Central and Southern Asia","Uzbekistan","","5.82","6.03","5.74","5.71","5.50","5.42","5.03","4.84","6.29","4.95","5.37","5.28",""
"SDG: Eastern and South-Eastern Asia","Brunei Darussalam","2.05","3.32","2.89","","3.35","","4.43","","","","","","",""
"SDG: Eastern and South-Eastern Asia","Cambodia","1.53","1.51","1.41","1.48","1.57","1.70","1.87","2.10","2.45","2.83","3.00","1.67","",""
"SDG: Eastern and South-Eastern Asia","China","3.75","3.52","3.94","3.71","3.58","3.81","3.76","3.62","3.54","3.54","3.57","3.30","3.30",""
"SDG: Eastern and South-Eastern Asia","China, Hong Kong Special Administrative Region","3.51","3.42","3.51","3.76","3.57","3.26","3.29","3.31","3.33","3.81","4.41","4.00","3.73",""
"SDG: Eastern and South-Eastern Asia","China, Macao Special Administrative Region","2.62","2.68","3.33","2.05","2.05","3.00","3.10","2.71","2.73","3.06","6.36","5.25","",""
"SDG: Eastern and South-Eastern Asia","Indonesia","2.81","3.19","3.41","3.36","3.29","3.58","3.57","2.67","2.75","2.84","3.49","3.05","2.42",""
"SDG: Eastern and South-Eastern Asia","Japan","3.60","3.61","3.42","3.41","3.42","3.31","3.15","3.13","3.08","3.16","3.31","3.46","",""
"SDG: Eastern and South-Eastern Asia","Lao People's Democratic Republic","1.71","1.71","1.82","3.23","2.94","2.74","2.77","2.50","2.33","2.12","1.92","1.86","1.39",""
"SDG: Eastern and South-Eastern Asia","Malaysia","4.97","5.76","5.74","5.48","5.03","4.70","4.35","4.18","4.13","3.98","4.52","4.27","3.51",""
"SDG: Eastern and South-Eastern Asia","Mongolia","4.65","4.61","5.96","5.24","5.43","4.39","5.20","4.32","4.00","3.65","4.66","3.34","4.26",""
"SDG: Eastern and South-Eastern Asia","Myanmar","","0.85","1.59","1.84","2.01","2.25","2.16","2.33","2.16","2.14","","","",""
"SDG: Eastern and South-Eastern Asia","Philippines","","","","","2.93","3.52","3.03","3.97","3.86","3.36","3.88","3.88","3.58",""
"SDG: Eastern and South-Eastern Asia","Republic of Korea","4.44","4.52","4.60","4.64","4.73","4.71","4.33","4.33","4.46","4.68","4.80","5.40","",""
"SDG: Eastern and South-Eastern Asia","Singapore","3.08","3.03","3.07","2.85","2.92","2.86","2.87","2.76","2.86","2.73","2.69","2.83","2.39",""
"SDG: Eastern and South-Eastern Asia","Thailand","3.51","4.81","3.60","3.82","3.92","3.86","3.77","3.46","3.20","3.02","3.15","2.99","2.61",""
"SDG: Eastern and South-Eastern Asia","Timor-Leste","11.11","10.19","7.17","5.68","7.66","6.29","6.02","5.21","4.88","4.18","3.66","2.97","",""
