Country Name,Years,percentage of GDP
Argentina,1999,4.521679878
Argentina,2000,4.580309868
Argentina,2001,4.833740234
Argentina,2002,4.017340183
Argentina,2003,3.535049915
Argentina,2004,3.486520052
Argentina,2005,3.860009909
Argentina,2006,4.128210068
Argentina,2007,4.462600231
Argentina,2008,4.844409943
Argentina,2009,5.531050205
Argentina,2010,5.019710064
Argentina,2011,5.290629864
Argentina,2012,5.345829964
Argentina,2013,5.436610222
Argentina,2014,5.361440182
Argentina,2015,5.776110172
Argentina,2016,5.545489788
Argentina,2017,5.454319954
Argentina,2018,4.877739906
Argentina,2019,4.777599812
Argentina,2020,5.279640198
Argentina,2021,4.647600174
Austria,1999,6.112339973
Austria,2000,5.588809967
Austria,2001,5.575479984
Austria,2002,5.522130013
Austria,2003,5.361830235
Austria,2004,5.302430153
Austria,2005,5.249370098
Austria,2006,5.226520061
Austria,2007,5.146900177
Austria,2008,5.263959885
Austria,2009,5.730249882
Austria,2010,5.700479984
Austria,2011,5.592269897
Austria,2012,5.480400085
Austria,2013,5.547110081
Austria,2014,5.447619915
Austria,2015,5.456580162
Austria,2016,5.47961998
Austria,2017,5.371590137
Austria,2018,5.226550102
Austria,2019,5.21750021
Austria,2020,5.569009781
Austria,2021,4.986499786
Switzerland,1999,4.759530067
Switzerland,2000,4.658780098
Switzerland,2001,4.822189808
Switzerland,2002,5.17881012
Switzerland,2003,5.384009838
Switzerland,2004,5.314290047
Switzerland,2005,5.084720135
Switzerland,2006,4.841209888
Switzerland,2007,4.583950043
Switzerland,2008,4.757259846
Switzerland,2009,4.925610065
Switzerland,2010,4.802100182
Switzerland,2011,4.856639862
Switzerland,2012,4.898620129
Switzerland,2013,4.913929939
Switzerland,2014,4.930570126
Switzerland,2015,4.99559021
Switzerland,2016,4.981639862
Switzerland,2017,5.017650127
Switzerland,2018,4.930089951
Switzerland,2019,5.014389992
Switzerland,2020,5.291639805
Switzerland,2021,5.044342995
Cote d'Ivoire,1999,2.685290098
Cote d'Ivoire,2000,2.40031004
Cote d'Ivoire,2001,2.444770098
Cote d'Ivoire,2002,2.810480118
Cote d'Ivoire,2003,2.864370108
Cote d'Ivoire,2004,2.911760092
Cote d'Ivoire,2005,2.919440031
Cote d'Ivoire,2006,2.819999933
Cote d'Ivoire,2007,3.016139984
Cote d'Ivoire,2008,3.098530054
Cote d'Ivoire,2009,3.173939943
Cote d'Ivoire,2010,3.246510029
Cote d'Ivoire,2011,2.865760088
Cote d'Ivoire,2012,3.434469938
Cote d'Ivoire,2013,3.458600044
Cote d'Ivoire,2014,3.314169884
Cote d'Ivoire,2015,3.494129896
Cote d'Ivoire,2016,3.935930014
Cote d'Ivoire,2017,3.736540079
Cote d'Ivoire,2018,3.211649895
Cote d'Ivoire,2019,3.440670013
Cote d'Ivoire,2020,3.78944993
Cote d'Ivoire,2021,3.372760057
Cyprus,1999,4.772079945
Cyprus,2000,4.9895401
Cyprus,2001,5.11552
Cyprus,2002,5.581669807
Cyprus,2003,6.670229912
Cyprus,2004,6.117720127
Cyprus,2005,6.286670208
Cyprus,2006,6.330269814
Cyprus,2007,6.280829906
Cyprus,2008,6.722760201
Cyprus,2009,7.205450058
Cyprus,2010,6.525599957
Cyprus,2011,6.520420074
Cyprus,2012,5.911854744
Cyprus,2013,6.467470169
Cyprus,2014,6.421110153
Cyprus,2015,6.304910183
Cyprus,2016,6.11811018
Cyprus,2017,5.69961977
Cyprus,2018,5.039629459
Cyprus,2019,5.21296978
Cyprus,2020,5.686289787
Cyprus,2021,5.61941576
Denmark,1999,7.931159973
Denmark,2000,8.084340096
Denmark,2001,8.215450287
Denmark,2002,8.213029861
Denmark,2003,8.121930122
Denmark,2004,8.207630157
Denmark,2005,8.085570335
Denmark,2006,7.729909897
Denmark,2007,7.615600109
Denmark,2008,7.4760499
Denmark,2009,8.448880196
Denmark,2010,8.559550285
Denmark,2011,8.48486042
Denmark,2012,7.237820148
Denmark,2013,8.494429588
Denmark,2014,7.634850025
Denmark,2015,7.0104146
Denmark,2016,7.476940155
Denmark,2017,7.115859985
Denmark,2018,7.000150204
Denmark,2019,6.909699917
Denmark,2020,7.389110088
Denmark,2021,6.039748669
Spain,1999,4.260439873
Spain,2000,4.166049957
Spain,2001,4.111269951
Spain,2002,4.134570122
Spain,2003,4.173429966
Spain,2004,4.157859802
Spain,2005,4.144320011
Spain,2006,4.184820175
Spain,2007,4.254049778
Spain,2008,4.528059959
Spain,2009,4.912000179
Spain,2010,4.856080055
Spain,2011,4.896920204
Spain,2012,4.46931982
Spain,2013,4.349619865
Spain,2014,4.301509857
Spain,2015,4.284570217
Spain,2016,4.225440025
Spain,2017,4.205520153
Spain,2018,4.179490089
Spain,2019,4.230219841
Spain,2020,4.899869919
Spain,2021,4.585320473
Finland,1999,5.86992979
Finland,2000,5.709300041
Finland,2001,5.840250015
Finland,2002,6.0167799
Finland,2003,6.167439938
Finland,2004,6.157579899
Finland,2005,6.02507019
Finland,2006,5.928380013
Finland,2007,5.67125988
Finland,2008,5.83010006
Finland,2009,6.459559917
Finland,2010,6.504449844
Finland,2011,6.445049763
Finland,2012,7.148039818
Finland,2013,7.124040127
Finland,2014,7.102369785
Finland,2015,7.032080173
Finland,2016,6.851530075
Finland,2017,6.363110065
Finland,2018,6.275579929
Finland,2019,6.416950226
Finland,2020,6.634940147
Finland,2021,5.693808556
United Kingdom,1999,3.985150099
United Kingdom,2000,4.014750004
United Kingdom,2001,4.098690033
United Kingdom,2002,4.615200043
United Kingdom,2003,4.800980091
United Kingdom,2004,4.730510235
United Kingdom,2005,4.926849842
United Kingdom,2006,4.973309994
United Kingdom,2007,4.921780109
United Kingdom,2008,4.906070232
United Kingdom,2009,5.059020042
United Kingdom,2010,5.687369823
United Kingdom,2011,5.558959961
United Kingdom,2012,5.627909184
United Kingdom,2013,5.526830196
United Kingdom,2014,5.59841013
United Kingdom,2015,5.553589821
United Kingdom,2016,5.415110111
United Kingdom,2017,5.431250095
United Kingdom,2018,5.198070049
United Kingdom,2019,5.248710155
United Kingdom,2020,5.497700214
United Kingdom,2021,5.327368259
Greece,1999,3.027729988
Greece,2000,3.230190039
Greece,2001,3.364579916
Greece,2002,3.424309969
Greece,2003,3.429339886
Greece,2004,3.667190075
Greece,2005,3.963959932
Greece,2006,3.678757906
Greece,2007,3.621951103
Greece,2008,3.804991007
Greece,2009,4.165074348
Greece,2010,4.140564919
Greece,2011,4.516300201
Greece,2012,4.582202911
Greece,2013,4.495119095
Greece,2014,4.321356773
Greece,2015,3.661390066
Greece,2016,4.015610695
Greece,2017,3.477089882
Greece,2018,3.597340107
Greece,2019,3.586060047
Greece,2020,4.497175217
Greece,2021,4.056227207
